#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1690540651393827301,0.8615059164,-0.8745970913,0.5878668476,0.1623361351,-0.0851181068,-0.0853613775,0.9793443329
1690540651404017602,0.8611080063,-0.8753399248,0.5882302152,0.1630539039,-0.0843970256,-0.0836779491,0.9794327784
1690540651414132037,0.8606853567,-0.8760780773,0.5884788174,0.1633237752,-0.0856034681,-0.0831371164,0.9793291635
1690540651423808043,0.8603013345,-0.8767190761,0.5887126484,0.1641539250,-0.0854374351,-0.0853389373,0.9790154235
1690540651434228681,0.8598903835,-0.8773482761,0.5889391228,0.1643006772,-0.0856378975,-0.0852788137,0.9789785299
1690540651444218193,0.8594474661,-0.8780378075,0.5891998332,0.1644864593,-0.0865285289,-0.0843915988,0.9789459007
1690540651453833531,0.8590188755,-0.8787355047,0.5895375087,0.1652388974,-0.0861360699,-0.0849556684,0.9788049952
1690540651463938811,0.8585928790,-0.8794122579,0.5897739072,0.1660124675,-0.0864092706,-0.0852053161,0.9786283016
1690540651474164917,0.8582055628,-0.8800561251,0.5900090671,0.1665897336,-0.0863410570,-0.0852191457,0.9785350171
1690540651483937635,0.8577311868,-0.8807885584,0.5902221926,0.1671005101,-0.0873252619,-0.0843870683,0.9784326961
1690540651493964929,0.8572918337,-0.8815008172,0.5905017090,0.1680924408,-0.0864394171,-0.0851801871,0.9782727096
1690540651504238444,0.8568516748,-0.8822225157,0.5907375615,0.1688080355,-0.0860582122,-0.0855102793,0.9781542943
1690540651513895759,0.8563780900,-0.8829544394,0.5908784487,0.1688505333,-0.0872692991,-0.0847594173,0.9781050087
1690540651523861450,0.8558673211,-0.8837131952,0.5910786576,0.1697564575,-0.0884721013,-0.0850664930,0.9778134404
1690540651534195637,0.8553756457,-0.8844766461,0.5913155355,0.1703043279,-0.0864470177,-0.0861457927,0.9778048125
1690540651544035854,0.8548536911,-0.8852371236,0.5914767832,0.1704847891,-0.0862919767,-0.0866643109,0.9777412381
1690540651553930017,0.8542859208,-0.8860603959,0.5915980164,0.1706599349,-0.0866526409,-0.0871023098,0.9776398591
1690540651563984614,0.8537470773,-0.8868052125,0.5915740839,0.1708494318,-0.0902202310,-0.0868729274,0.9773043927
1690540651573950305,0.8532568921,-0.8876106930,0.5916643728,0.1708838968,-0.0902820519,-0.0872356773,0.9772603448
1690540651584002406,0.8527561099,-0.8884639346,0.5917463816,0.1711305226,-0.0906727475,-0.0879662785,0.9771155157
1690540651593860285,0.8522705486,-0.8892768076,0.5917871102,0.1714914793,-0.0913538275,-0.0887564878,0.9769173131
1690540651604024058,0.8518226164,-0.8901166417,0.5918461928,0.1718120903,-0.0916833439,-0.0890478183,0.9768035914
1690540651614226196,0.8513717896,-0.8909801045,0.5919351443,0.1728190777,-0.0907946848,-0.0881000180,0.9767949009
1690540651623969310,0.8509999275,-0.8917190330,0.5918947320,0.1735432053,-0.0917634898,-0.0896634800,0.9764336527
1690540651634132975,0.8505986998,-0.8925026114,0.5918942452,0.1741606422,-0.0918078878,-0.0896128680,0.9763241861
1690540651643780965,0.8502090955,-0.8932869836,0.5919221458,0.1746804090,-0.0915840739,-0.0901495122,0.9762029387
1690540651654019816,0.8498500666,-0.8939876053,0.5920002428,0.1758428776,-0.0921220313,-0.0913562335,0.9758313647
1690540651663914386,0.8494068793,-0.8948311643,0.5919132167,0.1758001334,-0.0916283626,-0.0905155979,0.9759638737
1690540651673788276,0.8490224345,-0.8955720483,0.5919056554,0.1761105094,-0.0915321675,-0.0903889953,0.9759286758
1690540651684067448,0.8486263582,-0.8963586632,0.5918893117,0.1761375667,-0.0915522768,-0.0908276483,0.9758811795
1690540651693861686,0.8482090751,-0.8971831970,0.5918999999,0.1758359287,-0.0911251057,-0.0909153984,0.9759673824
1690540651704107257,0.8478355160,-0.8979941215,0.5919026265,0.1758327977,-0.0911349232,-0.0907486870,0.9759825453
1690540651714243892,0.8474802043,-0.8987696037,0.5919178032,0.1762351213,-0.0914344425,-0.0911270565,0.9758467012
1690540651723992251,0.8470697358,-0.8996561769,0.5920058831,0.1766928282,-0.0904332946,-0.0896814669,0.9759911363
1690540651733884266,0.8466902045,-0.9004853679,0.5920099170,0.1770532347,-0.0905550325,-0.0902750354,0.9758598035
1690540651743908377,0.8463241102,-0.9012933786,0.5920201927,0.1778997604,-0.0911647739,-0.0907536613,0.9756046495
1690540651753986288,0.8459275681,-0.9021928368,0.5920434892,0.1784500881,-0.0910888166,-0.0913983854,0.9754510386
1690540651763811914,0.8455863177,-0.9029705815,0.5919895906,0.1789250539,-0.0920899680,-0.0929295611,0.9751253045
1690540651774035653,0.8452299110,-0.9037731686,0.5920548255,0.1798082351,-0.0922935710,-0.0936467813,0.9748749539
1690540651784048244,0.8448639052,-0.9046149882,0.5920877921,0.1803973400,-0.0928577194,-0.0940463208,0.9746740651
1690540651794275626,0.8444789472,-0.9054608369,0.5921527501,0.1805349857,-0.0931617279,-0.0946697759,0.9745592054
1690540651803845992,0.8441133616,-0.9062611987,0.5921941715,0.1804254674,-0.0932051112,-0.0952962271,0.9745142826
1690540651814172434,0.8437353762,-0.9071148386,0.5922637471,0.1808503765,-0.0938299290,-0.0958416336,0.9743220551
1690540651823836228,0.8433596935,-0.9079848037,0.5924196382,0.1818787485,-0.0925821725,-0.0944883827,0.9743821672
1690540651833910307,0.8431256361,-0.9087202559,0.5924623759,0.1820574911,-0.0933206267,-0.0960318890,0.9741274079
1690540651843961003,0.8428037952,-0.9095045469,0.5925683209,0.1826553214,-0.0933413165,-0.0961188375,0.9740049288
1690540651853799699,0.8424971761,-0.9103348071,0.5926876495,0.1832083115,-0.0929024178,-0.0961980529,0.9739352083
1690540651863832086,0.8421597818,-0.9111346798,0.5928251952,0.1842432596,-0.0934189608,-0.0965185909,0.9736588112
1690540651874226653,0.8418122400,-0.9120167089,0.5930418185,0.1850023116,-0.0915890710,-0.0948620990,0.9738515128
1690540651884122752,0.8415058653,-0.9128412993,0.5931509157,0.1854117342,-0.0916632397,-0.0951113808,0.9737423502
1690540651893987867,0.8412319464,-0.9135457293,0.5931996242,0.1861481078,-0.0932803602,-0.0969058044,0.9732712476
1690540651903907702,0.8409231653,-0.9143414310,0.5933283459,0.1865840634,-0.0930181826,-0.0969443690,0.9732090188
1690540651914171110,0.8405139667,-0.9151702736,0.5935486761,0.1876852555,-0.0921469989,-0.0948959265,0.9732820447
1690540651923915249,0.8401385092,-0.9159271419,0.5937134151,0.1880293846,-0.0918435306,-0.0946739579,0.9732659236
1690540651933707038,0.8397530367,-0.9166487980,0.5938638198,0.1880534290,-0.0919456913,-0.0941834466,0.9732992223
1690540651943897651,0.8394888179,-0.9174155795,0.5940788181,0.1887478375,-0.0934974027,-0.0969957059,0.9727406245
1690540651953953452,0.8390885689,-0.9180716159,0.5942360205,0.1884636874,-0.0926787478,-0.0944996243,0.9731196788
1690540651963648729,0.8387434483,-0.9188324777,0.5944278579,0.1885609922,-0.0929013633,-0.0945862801,0.9730711816
1690540651974032195,0.8382721095,-0.9196756632,0.5947328445,0.1894594831,-0.0917923756,-0.0923687669,0.9732149171
1690540651983931024,0.8379668338,-0.9203438573,0.5946956568,0.1883250047,-0.0902976009,-0.0974004681,0.9730843667
1690540651993759158,0.8374763742,-0.9211908473,0.5950475111,0.1895233721,-0.0926261851,-0.0941696193,0.9729508539
1690540652004043619,0.8370258770,-0.9220094617,0.5952557985,0.1901756602,-0.0932481996,-0.0944253224,0.9727393536
1690540652014137229,0.8365605343,-0.9228307147,0.5954573698,0.1903623304,-0.0936181672,-0.0944583302,0.9726640971
1690540652023933304,0.8360917760,-0.9236844094,0.5956707963,0.1908496900,-0.0938399762,-0.0948755849,0.9725065954
1690540652034152715,0.8355778318,-0.9245587200,0.5958712338,0.1908743775,-0.0938176161,-0.0948164365,0.9725096762
1690540652043803065,0.8350685136,-0.9254146674,0.5960808317,0.1908116953,-0.0940535076,-0.0948773646,0.9724932495
1690540652054021134,0.8346056735,-0.9262021611,0.5962657683,0.1915864705,-0.0950322951,-0.0950190447,0.9722319005
1690540652063739876,0.8341103492,-0.9270470334,0.5964626881,0.1922771060,-0.0957649495,-0.0954162737,0.9719847343
1690540652074105821,0.8335916813,-0.9278923382,0.5966406624,0.1924628443,-0.0959893961,-0.0957812792,0.9718899300
